item,field,label,verdict,reason
1,Condition,"Colitis, Ulcerative",correct,UC in title and diagnosis
1,Condition,left sided disease,correct,extent E2 left sided in characteristics
2,Condition,Myocardial Ischemia,correct,ischemic status stated
2,Condition,Heart Failure,correct,heart failure: yes
3,Condition,escc,correct,engineered escc stated
3,Condition,non-invading,correct,escc non-invading in characteristics
4,Condition,Breast Neoplasms,correct,breast tumor
4,Condition,Breast Neoplasms,incorrect,duplicate label
5,Treatment,Gene Knockdown Techniques,correct,HSF1 knockdown treatment
5,Treatment,Wild-type HSF1,correct,wild-type HSF1 re-expression treatment
6,Condition,Lung Neoplasms,correct,lung tumor stated
6,Condition,Not Specified,incorrect,Not Specified mixed with real label
7,Condition,Urinary Bladder Neoplasms,correct,bladder cancer
7,Condition,pT1 G3,correct,stage and grade pT1 G3
8,Condition,"Carcinoma, Renal Cell",correct,chromophobe renal cell cancer
8,Condition,Kidney Neoplasms,correct,renal tumor
9,Condition,Medulloblastoma,correct,primary medulloblastoma
9,Condition,large cell/anaplastic,correct,subtype stated
10,Condition,"Sarcoma, Ewing",correct,Ewing sarcoma stated
10,Condition,Primary tumor,correct,tumor type Primary Tumor
11,Tissue,Tongue,correct,source tissue Tongue
11,Tissue,Oral cavity squamous cell carcinoma tumor,correct,tissue field states this
12,Treatment,Hormone Replacement Therapy,indeterminate,no treatment info in metadata
12,Treatment,"Chemotherapy, Adjuvant",indeterminate,no treatment info in metadata
13,Condition,primary prostate cancer,correct,primary prostate cancer stated
13,Condition,NED,correct,case-control group NED
14,Tissue,Bone Marrow,correct,tissue bone marrow
14,Tissue,CD34+ cells,correct,CD34+ cells source
15,Condition,Fetal Alcohol Spectrum Disorders,correct,disease FASD
15,Condition,ARND,correct,subgroup ARND
16,Condition,Liver Neoplasms,correct,liver cancer
16,Condition,tumorous tissue,correct,tumorous tissue stated
17,Condition,Medulloblastoma,correct,medulloblastoma
17,Condition,Not Specified,incorrect,Not Specified mixed with real labels
17,Condition,Group4_gamma,correct,subtype Group4_gamma
18,Condition,c-ALL/Pre-B-ALL without t(9; 22),correct,leukemia class matches characteristics
19,Condition,Lymphoma,correct,disease Lymphoma
19,Condition,DLBCL,correct,submitting diagnosis DLBCL
19,Condition,PMBL,correct,final diagnosis PMBL
20,Condition,Precursor Cell Lymphoblastic Leukemia-Lymphoma,correct,pediatric ALL
20,Condition,Not Specified,incorrect,Not Specified mixed with real label
21,Condition,Breast Neoplasms,correct,luminal breast cancer
21,Condition,Early,correct,loco-regional recurrence EARLY
22,Condition,primary lung tumors,correct,primary lung tumor stated
22,Condition,IB,correct,pathological stage IB
22,Condition,I,correct,pstage I
22,Condition,relapsed,correct,relapse relapsed
23,Condition,Prostatic Neoplasms,correct,prostate tumor
23,Condition,gleason's grade: 7 (3+4),correct,gleason grade stated
24,Tissue,Bone Marrow,correct,tissue bone marrow
24,Tissue,Plasma Cells,correct,CD138+ plasma cells
25,Condition,Astrocytoma,correct,astrocytoma stated
25,Condition,grade 2,correct,tumor grading Grade 2
26,Treatment,Not Specified,incorrect,Not Specified mixed with real label
26,Treatment,10 μM nutlin3a,correct,treated with 10uM nutlin3a
27,Condition,Stage: IV,correct,Stage IV stated
27,Condition,Adenocarcinoma,correct,morphology Adenocarcinoma
28,Condition,Colorectal Neoplasms,correct,colorectal cancer
28,Condition,tumor stage: 2,correct,tumor stage 2
28,Condition,msi-status: MSI-H,correct,msi-status MSI-H
29,Treatment,AraC (50 mg/kg/day),indeterminate,no treatment info in metadata
29,Treatment,saline control,indeterminate,no treatment info in metadata
30,Tissue,Bone Marrow,correct,tissue bone marrow
30,Tissue,mononucleated cells,correct,cell type mononucleated cells
31,Condition,Precursor Cell Lymphoblastic Leukemia-Lymphoma,correct,ALL stated
31,Condition,Precursor-B-ALL,correct,all type Precursor-B-ALL
31,Condition,Common ALL,correct,all subtype Common ALL
31,Condition,Recurrence,correct,relapse type stated
32,Treatment,Neoadjuvant Therapy,correct,neoadjuvant chemoradiation rectal cancer
32,Treatment,"Chemoradiation, 825 mg/m2, twice daily alone or in combination with oxaliplatine 50 mg/m2 once weekly",correct,crt Cap chemoradiation supported
33,Condition,non-small cell lung cancer (NSCLC),correct,NSCLC stated
33,Condition,adenocarcinoma,correct,nsclc type adenocarcinoma
33,Condition,Stage: I,correct,Stage I
33,Condition,T1N0M0,correct,tnm T1N0M0
33,Condition,IA,correct,6th tnm stage IA
34,Treatment,middle n6 level tertile,incorrect,"measured level, not treatment; wrong field"
34,Treatment,middle n3 level tertile,incorrect,"measured level, not treatment; wrong field"
34,Treatment,middle sfa/pufa ratio tertile,incorrect,"measured ratio, not treatment; wrong field"
35,Condition,non-small cell lung cancer (NSCLC),correct,NSCLC stated
35,Condition,squamous cell carcinoma,correct,nsclc type squamous
35,Condition,Stage: I,correct,Stage I
36,Condition,Prostatic Neoplasms,correct,prostate cancer
36,Condition,gleason score: 8,correct,gleason score 8
36,Condition,Not Specified,incorrect,Not Specified mixed with real labels
37,Condition,"Carcinoma, Non-Small-Cell Lung",correct,non-small cell lung cancer
37,Condition,tumor_stage: 2B,correct,tumor_stage 2B
38,Treatment,bevacizumab-erlotinib,indeterminate,drugs not in metadata
38,Treatment,cisplatine + gemcitabine,indeterminate,drugs not in metadata
39,Condition,Breast Neoplasms,correct,breast tumor
39,Condition,Stage: II,correct,Stage II
40,Condition,Medulloblastoma,correct,disease state primary medulloblastoma
40,Condition,Breast Neoplasms,correct,breast cancer tumor tissue
40,Condition,Stage: 2,correct,Stage 2 in characteristics
40,Condition,grade: 3,correct,grade 3 in characteristics
