item,field,raw_value,assigned_id,instances,verdict,matched_id
1,Condition,HER2 positive metastatic breast cancer,OOV-C-5D29D31894,59,inappropriate,D001943
2,Tissue,B-cell chronic lymphocytic leukemia (B-CLL) cells,OOV-T-56975C82AD,269,appropriate,
3,Treatment,oral cs; hcq,OOV-X-0970E34211,106,appropriate,
4,Condition,Rhinovirus infection (hRV),OOV-C-80B636970F,91,appropriate,
5,Treatment,GDC-0941 0.12µM,OOV-X-557F735AD2,67,appropriate,
6,Condition,ALCL,ART-C-00270,55,inappropriate,D017728
7,Condition,Normal liver,OOV-C-A74669F132,52,appropriate,
8,Treatment,brivanib 0.04µM,OOV-X-A847C1FDC1,56,appropriate,
9,Condition,Vaccinee,OOV-C-D33E81D15B,92,appropriate,
10,Condition,lesional,OOV-C-03181D8656,290,appropriate,
11,Treatment,CP466722 3.33µM,OOV-X-02695609F2,55,appropriate,
12,Tissue,primary Rb tissue,OOV-T-3E46FF58C7,76,appropriate,
13,Condition,CLL,ART-C-00279,1836,inappropriate,D015451
14,Treatment,linifanib 3.33µM,OOV-X-8E95943374,73,appropriate,
15,Tissue,EBV-transformed lymphoblastoid cells,OOV-T-647918EC36,172,appropriate,
16,Treatment,PD-173074 3.33µM,OOV-X-5EC1518559,73,appropriate,
17,Treatment,TWS-119 0.04µM,OOV-X-B6CBDA1502,57,appropriate,
18,Treatment,7 days prior to vaccination (day-7),OOV-X-0F2F1B9917,52,appropriate,
19,Tissue,Endobronchial biopsy,OOV-T-A7B8C6EC2D,60,inappropriate,D001980
20,Treatment,olaparib 3.33µM,OOV-X-25961F8FFD,77,appropriate,
21,Treatment,palbociclib 0.04µM,OOV-X-EFB9F22E5A,74,appropriate,
22,Treatment,AZD-5438 10µM,OOV-X-A43DA750DF,68,appropriate,
23,Treatment,geldanamycin_1000nM,OOV-X-73317CD702,72,appropriate,
24,Condition,cognitively intact,OOV-C-BB52CF5F06,173,appropriate,
25,Condition,healthy controls,OOV-C-CD7646BCCB,210,appropriate,
26,Treatment,SAR-245408 0.12µM,OOV-X-E84A272FE0,57,appropriate,
27,Treatment,TACE,ART-X-26547,147,inappropriate,D016461
28,Condition,Healthy controls,OOV-C-CD7646BCCB,92,appropriate,
29,Condition,Smouldering,OOV-C-288AA2DB3E,203,indeterminate,
30,Tissue,PBL,ART-T-00419,809,inappropriate,D008214
31,Treatment,RD,ART-X-06562,99,indeterminate,
32,Treatment,BX-912 3.33µM,OOV-X-AEA1B7EE8A,57,appropriate,
33,Treatment,BIX-01294 10µM,OOV-X-69784465CF,53,appropriate,
34,Treatment,withaferin-a 3.33µM,OOV-X-DC4A3531E5,133,appropriate,
35,Treatment,RPS6; 2µL,OOV-X-6FF07AA407,54,appropriate,
36,Treatment,YM-201636 0.04µM,OOV-X-9ADC7A5A46,53,appropriate,
37,Treatment,AKT-inhibitor-1-2 10µM,OOV-X-5FD85062B7,55,appropriate,
38,Tissue,m. vastus lateralis,OOV-T-C8CA689C6D,98,inappropriate,D052097
39,Treatment,yes allergy,OOV-X-64FEBF8316,192,appropriate,
40,Treatment,NVP-AEW541 3.33µM,OOV-X-94BAC0BBDD,56,appropriate,
41,Treatment,Natural conception,OOV-X-BB46FF86F5,63,appropriate,
42,Tissue,normal testicular tissue,OOV-T-485C89C33C,103,inappropriate,D013737
43,Treatment,AT-7519 0.04µM,OOV-X-30ACAC19AE,74,appropriate,
44,Treatment,Ganitumab arm,OOV-X-267DF73543,90,appropriate,
45,Treatment,H1N1,ART-X-00021,415,appropriate,
46,Tissue,rectal tissue,OOV-T-E1D8DF5DBB,72,inappropriate,D012007
47,Treatment,canertinib 3.33µM,OOV-X-1EB203D8D3,71,appropriate,
48,Condition,Colon tumor cell line,OOV-C-06BC335C3F,54,inappropriate,D003110
49,Treatment,INSM2 2µL,OOV-X-C7B811F334,55,appropriate,
50,Treatment,R-CHOP-Like Regimen,OOV-X-76519C12E9,233,appropriate,
51,Treatment,trametinib 3.33µM,OOV-X-2C4B4953B2,55,appropriate,
52,Tissue,DLBCL tumor biopsy,OOV-T-1A980DED2A,223,appropriate,
53,Condition,IPF,ART-C-00198,478,inappropriate,D054990
54,Tissue,implant adherent cells,OOV-T-9561318572,52,appropriate,
55,Condition,IPF/UIP,OOV-C-B6F564010B,119,inappropriate,D054990
56,Treatment,SU-11274 10µM,OOV-X-55EBF0DF23,58,appropriate,
57,Condition,normal pregnancy,OOV-C-D12C3BAAEE,393,appropriate,
58,Tissue,CD4+ cell,OOV-T-371960B6C7,428,inappropriate,D015496
59,Tissue,Blasts and mononuclear cells,OOV-T-1E49BF3C35,65,inappropriate,D007963
60,Tissue,Biopsy,OOV-T-1D484C27CB,137,appropriate,
61,Condition,non-tumor control,OOV-C-CDE9B85B14,64,appropriate,
62,Tissue,primary acute lymphoblastic leukemia cells,OOV-T-741A483F11,744,appropriate,
63,Treatment,golimumab,OOV-X-DA6A115F40,109,appropriate,
64,Treatment,BI-2536 0.12µM,OOV-X-1C063D2C4B,109,appropriate,
65,Treatment,T-DM1/P arm,OOV-X-0F7CF8492F,51,appropriate,
66,Treatment,LIPO-5 / MVA HIV-B,OOV-X-B7DD6CF666,89,appropriate,
67,Treatment,GSK-690693 3.33µM,OOV-X-3E20B5A9E0,53,appropriate,
68,Tissue,Gastrointestinal Stroma Tumor,OOV-T-4E27FD90CB,66,appropriate,
69,Tissue,retinoblastoma,OOV-T-59C99BCFFA,345,appropriate,
