item,field,raw_value,assigned_target,assigned_id,your_verdict,matched_id,confusion(auto:correct=TP/incorrect=FP/inappropriate=FN/appropriate=TN)
1,Tissue,PBMC,PBMC,ART-T-00001,inappropriate,,
2,Tissue,Lymphoblastoid cell lines,Lymphoblastoid cell lines,OOV-T-E3103FC62D,appropriate,,
3,Tissue,Breast,Breast,OOV-T-4B6CE79624,inappropriate,,
4,Tissue,medulloblastoma,medulloblastoma,OOV-T-6B55FBF677,appropriate,,
5,Tissue,CD14+ cell,CD14+ cell,OOV-T-9B2E20067A,indeterminate,,
6,Tissue,neuronal progenitor cells,neuronal progenitor cells,OOV-T-3EF6864093,indeterminate,,
7,Tissue,PBMCs,PBMCs,ART-T-00036,inappropriate,,
8,Tissue,colorectal cancer,colorectal cancer,OOV-T-4AEBAD3347,appropriate,,
9,Tissue,HUC1,HUC1,ART-T-00101,indeterminate,,
10,Tissue,GBM 104,GBM 104,OOV-T-3EFC8929F5,appropriate,,
11,Tissue,human-derived melanoma cells,human-derived melanoma cells,OOV-T-FEB3936798,appropriate,,
12,Tissue,Acute Lymphoblastic Leukemia cells (>90% blasts),Acute Lymphoblastic Leukemia cells (>90% blasts),OOV-T-0DB4BAF1A4,appropriate,,
13,Tissue,MDA-HNS-073,MDA-HNS-073,OOV-T-4D46A4B83D,indeterminate,,
14,Tissue,TestiGermCell,TestiGermCell,OOV-T-616B4E471B,appropriate,,
15,Tissue,primary human brain microvascular endothelial cells,primary human brain microvascular endothelial cells,OOV-T-71F360D6A6,appropriate,,
16,Tissue,Gastrocnemius,"skeletal muscle, gastrocnemius",OOV-T-963C09C763,inappropriate,,
17,Tissue,Ewing's sarcoma cell line; SK-N-MC,Ewing's sarcoma cell line; SK-N-MC,OOV-T-CF3FBD08F6,inappropriate,,
18,Tissue,Rectal cancer tissue,rectal cancer tissue,OOV-T-5CEE69680B,appropriate,,
19,Tissue,whole blood,Blood Cells,D001773,incorrect,,
20,Tissue,blood,Blood,D001769,correct,,
21,Tissue,Whole blood,Blood Cells,D001773,incorrect,,
22,Tissue,kidney,Kidney,D007668,correct,,
23,Tissue,Blood,Blood,D001769,correct,,
24,Tissue,adipose_tissue_subcutaneous,Adipose Tissue,D000273,correct,,
25,Tissue,cervix; tumour,Cervix Uteri; tumour,D002584;,correct,,
26,Tissue,human placenta,Placenta,D010920,correct,,
27,Tissue,Cervix,Cervix Uteri,D002584,correct,,
28,Tissue,Mammary gland/breast; Epithelial,Breast; Epithelial Cells,D001940; D004847,correct,,
29,Tissue,A549,A-549,CVCL_0023,correct,,
30,Tissue,MCF7,MCF-7,CVCL_0031,correct,,
31,Tissue,HEPG2,Hep-G2,CVCL_0027,correct,,
32,Tissue,A375,A-375,CVCL_0132,correct,,
33,Tissue,HT29,HT-29,CVCL_0320,correct,,
34,Tissue,U266 human myeloma cell line,U266B1,CVCL_0566,correct,,
35,Tissue,MCF10A Cells,MCF-10A,CVCL_0598,correct,,
36,Tissue,Fibroblast CCD1112Sk,CCD-1112Sk,CVCL_2769,correct,,
37,Tissue,SKBR3 cells,SK-BR-3,CVCL_0033,correct,,
38,Tissue,MLS 2645-94,402-91,CVCL_S813,indeterminate,,
39,Tissue,Not Specified,Not Specified,,correct,,
40,Tissue,Tumor,Tumor,,correct,,
41,Tissue,CL-1,Not Specified,,indeterminate,,
42,Tissue,non-tumor,Not Specified,,correct,,
43,Condition,adenocarcinoma,Adenocarcinoma,D000230,correct,,
44,Condition,breast cancer,Breast Neoplasms,D001943,correct,,
45,Condition,ductal carcinoma,"Carcinoma, Ductal",D044584,correct,,
46,Condition,hepatocellular carcinoma,"Carcinoma, Hepatocellular",D006528,correct,,
47,Condition,colorectal adenocarcinoma,Colorectal Neoplasms,D015179,correct,,
48,Condition,Tumor; gleason: 9 (4 + 5); Stage: pT3b,Neoplasms; gleason: 9 (4 + 5); Stage: pT3b,D009369; ART-C-04247; ART-C-04258,correct,,
49,Condition,clear cell renal carcinoma; Stage 4,"Carcinoma, Renal Cell; stage 4",D002292; ART-C-00951,correct,,
50,Condition,gastric cancer; Stage: II; grade: G3,Stomach Neoplasms; Stage: II; grade: G3,D013274; ART-C-00109; ART-C-04532,correct,,
51,Condition,positive acute lymphoblastic leukemia,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198,correct,,
52,Condition,Yolk Sac Tumour,Endodermal Sinus Tumor,D018240,correct,,
53,Condition,Not Specified,Not Specified,,correct,,
54,Condition,neurologically and neuropathologically normal,Not Specified,,correct,,
55,Condition,retinal detachment: no,Not Specified,,correct,,
56,Condition,Normal corpus,Not Specified,,correct,,
57,Condition,normal,normal,OOV-C-4151FED50D,appropriate,,
58,Condition,NSCLC,NSCLC,ART-C-00622,inappropriate,,
59,Condition,control,control,OOV-C-D2446A4E3F,appropriate,,
60,Condition,healthy,healthy,OOV-C-E20B68DA99,appropriate,,
61,Condition,Normal,normal,OOV-C-4151FED50D,appropriate,,
62,Condition,Control,control,OOV-C-D2446A4E3F,appropriate,,
63,Condition,SLE,SLE,ART-C-00214,inappropriate,,
64,Condition,AML,AML,ART-C-00163,inappropriate,,
65,Condition,Endometrioid,Endometrioid,OOV-C-2AA1B93977,inappropriate,,
66,Condition,AdenoCa,AdenoCa,OOV-C-2AA52AC531,inappropriate,,
67,Condition,ITGA3 mutation,ITGA3 mutation,OOV-C-BFF70CCF1C,appropriate,,
68,Condition,infected with KY/136 (pdmH1N1),infected with KY/136 (pdmH1N1),OOV-C-99E64C9B0B,appropriate,,
69,Condition,BRCA2 'one-hit' mutant,BRCA2 'one-hit' mutant,OOV-C-0AAA00359B,appropriate,,
70,Condition,activated metaphase-2 oocyte,activated metaphase-2 oocyte,OOV-C-BD0E094E01,appropriate,,
71,Condition,MCT8 mutation,MCT8 mutation,OOV-C-3DCF37D5FB,appropriate,,
72,Condition,"AML with t(8; 16), therapy-related","AML with t(8; 16), therapy-related",OOV-C-2A59AA74DF,appropriate,,
73,Condition,MIXED; Grade 3,mixed; grade 3,OOV-C-318EEEE4A7,appropriate,,
74,Condition,primary prostate cancer; T2N0; Gleason Score: 9,primary prostate cancer; Gleason Score: 9; Stage: T2N0,OOV-C-2EF664BEA1,inappropriate,,
75,Treatment,Not Specified,Not Specified,,correct,,
76,Treatment,No Statin,Not Specified,,correct,,
77,Treatment,"no del 13q14, no del 11q22-23, no del 17p13, no trisomy 12 CLL_Peripheral_Blood_GED102",Not Specified,,correct,,
78,Treatment,nonsmoker; 30-day mean pm2.5 exposure level: 9.09537,Not Specified; 30-day mean pm2.5 exposure level: 9.09537,; ART-X-26238,correct,,
79,Treatment,vehicle,vehicle,OOV-X-B880FC6CDD,appropriate,,
80,Treatment,Placebo,Placebo,OOV-X-36F9CDA7AB,inappropriate,,
81,Treatment,placebo,Placebo,OOV-X-36F9CDA7AB,inappropriate,,
82,Treatment,LPS,LPS,ART-X-00026,inappropriate,,
83,Treatment,Mock,Mock,ART-X-00005,appropriate,,
84,Treatment,Vehicle,vehicle,OOV-X-B880FC6CDD,appropriate,,
85,Treatment,TT2,TT2,ART-X-29948,indeterminate,,
86,Treatment,mixed,mixed,OOV-X-701346C8B1,appropriate,,
87,Treatment,cp-81518,cp-81518,OOV-X-09B6284ABD,appropriate,,
88,Treatment,BafA,BafA,ART-X-26741,indeterminate,,
89,Treatment,siLincSTXBP5,siLincSTXBP5,OOV-X-AF45DBF418,appropriate,,
90,Treatment,KIN001-055 1.11µM,KIN001-043 1.11µM,OOV-X-72BFCA9F2C,incorrect,,
91,Treatment,pyrazolanthrone 0.12µM,pyrazolanthrone 0.12µM,OOV-X-115A0DA3DE,appropriate,,
92,Treatment,TG,TG,ART-X-29262,indeterminate,,
93,Treatment,pacritinib,pacritinib,OOV-X-08D9A4D577,indeterminate,,
94,Treatment,FECH siRNA + 5-ALA,FECH siRNA + 5-ALA,OOV-X-966D7A09E6,appropriate,,
95,Treatment,SJE2A066,SJE2A062,OOV-X-39D3A8A877,incorrect,,
