item,field,label,verdict,reason
1,Condition,GAD65-encephalitis,correct,diagnosis GAD65-encephalitis in metadata
1,Condition,early,correct,disease stage early in metadata
2,Condition,Embryonal Tumor/Multilayered Rosettes (ETMR),correct,subject status ETMR patient
2,Condition,Primary tumor,correct,tumor stage Primary tumor
3,Treatment,Not Specified,incorrect,Not Specified mixed with real label
3,Treatment,TGFB,correct,treatment TGFB in metadata
4,Treatment,Paclitaxel,correct,arm Paclitaxel plus Ganitumab
4,Treatment,Ganitumab,correct,arm Paclitaxel plus Ganitumab
5,Condition,Not Specified,incorrect,Not Specified mixed with real label
5,Condition,normal scalp sample,correct,control normal scalp sample
6,Condition,Breast Neoplasms,correct,breast tumor tissue
6,Condition,Stage: I,correct,Stage I in metadata
7,Condition,Stage I,correct,gold stage Stage I
7,Condition,Smoker Controls,correct,subject type Smoker Controls
8,Treatment,Vaccines,correct,treatment VACCINE
8,Treatment,92TH023ENV,correct,stimulation 92TH023ENV
9,Condition,Neoplasms,correct,cancer sample
9,Condition,Neoplasm Metastasis,correct,distant metastasis
9,Condition,Colorectal Neoplasms,correct,colorectal cancer
10,Condition,Colonic Neoplasms,correct,colon cancer sample
10,Condition,Stage: IV,correct,stage IV in metadata
11,Condition,Stage IV,correct,tnm7 Stage IV
11,Condition,Stage I,correct,tnm8 Stage I
12,Condition,Breast Neoplasms,correct,source states Breast Tumor
12,Condition,histologic grade: 2,correct,Elston histologic grade 2 stated
13,Condition,Breast Neoplasms,correct,primary breast tumor
13,Condition,Not Specified,incorrect,Not Specified mixed with real label
14,Condition,"Cystadenocarcinoma, Serous",correct,clinicaldiagnosis Serous Cystadenocarcinoma
14,Condition,IV,correct,diseasestaging IV
14,Condition,G3,correct,tumorgrading G3
15,Condition,"Lymphoma, Large B-Cell, Diffuse",correct,disease DLBCL
15,Condition,Not Specified,incorrect,Not Specified mixed with real label
16,Condition,Medulloblastoma,correct,tissue medulloblastoma
16,Condition,SHH,correct,subgroup SHH
17,Treatment,BCL2L1,indeterminate,CRISPR target gene not in metadata
